epoch,train_loss,val_loss
1,0.510109,1.345650
2,0.684895,1.013011
3,0.466801,1.419449
4,0.214137,1.539239
5,0.253528,0.742229
6,0.220235,0.758646
7,0.208170,0.689278
8,0.176640,0.596890
9,0.145227,0.493157
10,0.122841,0.428074
11,0.112616,0.383010
12,0.103972,0.352324
13,0.095401,0.330285
14,0.086195,0.316544
15,0.076252,0.258921
16,0.067011,0.200593
17,0.057175,0.147098
18,0.045947,0.111596
19,0.037172,0.091393
20,0.031508,0.066199
21,0.025838,0.037899
22,0.019540,0.019247
23,0.014827,0.012880
24,0.012470,0.010443
25,0.011039,0.008757
26,0.009802,0.007515
27,0.008715,0.006867
28,0.008013,0.006362
29,0.007427,0.005949
30,0.006929,0.005600
31,0.006498,0.005299
32,0.006121,0.005034
33,0.005788,0.004798
34,0.005491,0.004586
35,0.005298,0.004340
36,0.004952,0.004188
37,0.004757,0.004036
38,0.004562,0.003893
39,0.004435,0.003724
40,0.004190,0.003614
41,0.004051,0.003503
42,0.003956,0.003369
43,0.003761,0.003279
44,0.003651,0.003175
45,0.003517,0.003098
46,0.003462,0.002997
47,0.003314,0.002914
48,0.003212,0.002850
49,0.003168,0.002765
50,0.003045,0.002695
51,0.002958,0.002640
52,0.002920,0.002568
53,0.002817,0.002508
54,0.002742,0.002452
55,0.002700,0.002394
56,0.002616,0.002343
57,0.002555,0.002295
58,0.002520,0.002245
59,0.002446,0.002200
60,0.002412,0.002154
61,0.002346,0.002113
62,0.002296,0.002074
63,0.002268,0.002033
64,0.002208,0.001997
65,0.002180,0.001959
66,0.002126,0.001925
67,0.002086,0.001893
68,0.002061,0.001859
69,0.002013,0.001828
70,0.001988,0.001796
71,0.001944,0.001769
72,0.001910,0.001741
73,0.001890,0.001712
74,0.001849,0.001687
75,0.001828,0.001660
76,0.001791,0.001635
77,0.001770,0.001610
78,0.001736,0.001588
79,0.001709,0.001565
80,0.001692,0.001542
81,0.001660,0.001521
82,0.001642,0.001497
83,0.001610,0.001478
84,0.001588,0.001460
85,0.001574,0.001440
86,0.001546,0.001422
87,0.001532,0.001400
88,0.001504,0.001384
89,0.001484,0.001368
90,0.001472,0.001350
91,0.001447,0.001334
92,0.001435,0.001315
93,0.001410,0.001301
94,0.001393,0.001287
95,0.001383,0.001271
96,0.001366,0.001254
97,0.001344,0.001241
98,0.001328,0.001228
99,0.001318,0.001214
100,0.001298,0.001201
101,0.001288,0.001186
102,0.001268,0.001174
103,0.001254,0.001162
104,0.001246,0.001150
105,0.001232,0.001136
106,0.001214,0.001125
107,0.001201,0.001114
108,0.001193,0.001101
109,0.001176,0.001091
110,0.001164,0.001081
111,0.001157,0.001070
112,0.001145,0.001058
113,0.001130,0.001049
114,0.001118,0.001040
115,0.001111,0.001028
116,0.001096,0.001020
117,0.001089,0.001010
118,0.001076,0.001000
119,0.001065,0.000992
120,0.001059,0.000983
121,0.001049,0.000972
122,0.001036,0.000964
123,0.001027,0.000957
124,0.001021,0.000947
125,0.001009,0.000940
126,0.001003,0.000931
127,0.000991,0.000923
128,0.000982,0.000916
129,0.000977,0.000908
130,0.000968,0.000900
131,0.000958,0.000893
132,0.000949,0.000886
133,0.000944,0.000878
134,0.000934,0.000872
135,0.000929,0.000864
136,0.000919,0.000858
137,0.000911,0.000851
138,0.000907,0.000844
139,0.000897,0.000838
140,0.000892,0.000831
141,0.000883,0.000825
142,0.000878,0.000819
143,0.000869,0.000812
144,0.000862,0.000807
145,0.000858,0.000801
146,0.000852,0.000794
147,0.000843,0.000789
148,0.000839,0.000782
149,0.000831,0.000777
150,0.000825,0.000772
