epoch,train_loss,val_loss
1,0.243867,2.967847
2,0.303631,2.479981
3,0.251481,2.048276
4,0.209618,1.639626
5,0.180419,1.493679
6,0.204294,1.433214
7,0.192618,0.816709
8,0.172690,0.698433
9,0.159471,0.557107
10,0.152956,0.444732
11,0.139569,0.361480
12,0.119799,0.364910
13,0.109183,0.309584
14,0.099779,0.305013
15,0.091827,0.269081
16,0.079058,0.241744
17,0.068000,0.212577
18,0.058421,0.170168
19,0.049355,0.132902
20,0.041240,0.097199
21,0.030568,0.054932
22,0.017442,0.023584
23,0.010274,0.012873
24,0.007844,0.009157
25,0.006434,0.006750
26,0.005367,0.005232
27,0.004571,0.004232
28,0.003961,0.003533
29,0.003484,0.003031
30,0.003099,0.002650
31,0.002785,0.002352
32,0.002520,0.002110
33,0.002284,0.001881
34,0.002084,0.001697
35,0.001914,0.001545
36,0.001769,0.001418
37,0.001642,0.001310
38,0.001531,0.001218
39,0.001434,0.001137
40,0.001348,0.001067
41,0.001270,0.001005
42,0.001201,0.000953
43,0.001139,0.000903
44,0.001079,0.000859
45,0.001027,0.000822
46,0.000982,0.000788
47,0.000942,0.000757
48,0.000905,0.000728
49,0.000870,0.000702
50,0.000838,0.000677
51,0.000808,0.000654
52,0.000780,0.000632
53,0.000753,0.000612
54,0.000728,0.000593
55,0.000705,0.000575
56,0.000683,0.000558
57,0.000663,0.000542
58,0.000643,0.000527
59,0.000625,0.000512
60,0.000607,0.000499
61,0.000590,0.000486
62,0.000575,0.000473
63,0.000560,0.000462
64,0.000546,0.000450
65,0.000532,0.000440
66,0.000519,0.000430
67,0.000507,0.000420
68,0.000495,0.000410
69,0.000483,0.000402
70,0.000473,0.000393
71,0.000462,0.000384
72,0.000451,0.000376
73,0.000441,0.000369
74,0.000432,0.000361
75,0.000423,0.000354
76,0.000415,0.000348
77,0.000407,0.000341
78,0.000399,0.000335
79,0.000391,0.000329
80,0.000384,0.000323
81,0.000377,0.000317
82,0.000370,0.000312
83,0.000363,0.000307
84,0.000357,0.000301
85,0.000351,0.000296
86,0.000345,0.000292
87,0.000339,0.000287
88,0.000334,0.000282
89,0.000328,0.000278
90,0.000323,0.000274
91,0.000318,0.000270
92,0.000313,0.000266
93,0.000308,0.000262
94,0.000303,0.000258
95,0.000299,0.000254
96,0.000295,0.000251
97,0.000290,0.000247
98,0.000286,0.000244
99,0.000282,0.000240
100,0.000278,0.000237
