epoch,train_loss,val_loss
1,0.301448,4.013554
2,0.435976,3.172051
3,0.515144,0.800833
4,0.300697,1.090979
5,0.277172,0.896233
6,0.214020,0.807799
7,0.172991,0.894745
8,0.171924,0.839945
9,0.161148,0.761608
10,0.144693,0.695610
11,0.130762,0.643645
12,0.120094,0.599489
13,0.109324,0.560951
14,0.099413,0.517750
15,0.089761,0.469754
16,0.078380,0.426751
17,0.066734,0.386474
18,0.071739,0.264848
19,0.048139,0.223289
20,0.042931,0.159224
21,0.031261,0.123399
22,0.027763,0.035879
23,0.021163,0.021147
24,0.017160,0.014862
25,0.014488,0.011994
26,0.012731,0.011075
27,0.011460,0.011060
28,0.009766,0.011238
29,0.008372,0.009575
30,0.007563,0.007508
31,0.006665,0.006785
32,0.006043,0.006196
33,0.005513,0.005691
34,0.005054,0.005248
35,0.004658,0.004844
36,0.004344,0.004483
37,0.004067,0.004158
38,0.003821,0.003869
39,0.003600,0.003610
40,0.003401,0.003376
41,0.003221,0.003165
42,0.003057,0.002974
43,0.002908,0.002800
44,0.002771,0.002642
45,0.002645,0.002498
46,0.002530,0.002366
47,0.002426,0.002246
48,0.002328,0.002136
49,0.002236,0.002034
50,0.002151,0.001940
51,0.002071,0.001853
52,0.001996,0.001773
53,0.001926,0.001699
54,0.001860,0.001629
55,0.001797,0.001565
56,0.001739,0.001504
57,0.001683,0.001448
58,0.001631,0.001395
59,0.001581,0.001346
60,0.001534,0.001299
61,0.001489,0.001256
62,0.001447,0.001214
63,0.001407,0.001176
64,0.001368,0.001139
65,0.001332,0.001104
66,0.001297,0.001071
67,0.001263,0.001040
68,0.001232,0.001011
69,0.001201,0.000983
70,0.001172,0.000956
71,0.001144,0.000930
72,0.001117,0.000906
73,0.001092,0.000883
74,0.001067,0.000861
75,0.001043,0.000840
76,0.001021,0.000820
77,0.000999,0.000800
78,0.000977,0.000782
79,0.000957,0.000765
80,0.000938,0.000748
81,0.000919,0.000733
82,0.000901,0.000718
83,0.000884,0.000703
84,0.000868,0.000689
85,0.000852,0.000675
86,0.000836,0.000662
87,0.000821,0.000649
88,0.000806,0.000636
89,0.000792,0.000625
90,0.000779,0.000613
91,0.000766,0.000602
92,0.000753,0.000591
93,0.000740,0.000581
94,0.000728,0.000571
95,0.000716,0.000561
96,0.000705,0.000552
97,0.000694,0.000543
98,0.000683,0.000534
99,0.000673,0.000525
100,0.000662,0.000517
