epoch,train_loss,val_loss
1,0.269851,2.390401
2,0.264887,1.821713
3,0.218957,1.344217
4,0.186522,0.974065
5,0.168739,0.727068
6,0.152743,0.597264
7,0.139785,0.498630
8,0.122309,0.428310
9,0.110148,0.400789
10,0.099756,0.363478
11,0.086958,0.328149
12,0.077215,0.304404
13,0.067759,0.272196
14,0.058494,0.242248
15,0.049733,0.200497
16,0.040864,0.158170
17,0.033031,0.117599
18,0.026551,0.084156
19,0.021264,0.060628
20,0.017499,0.043645
21,0.014727,0.031605
22,0.012564,0.022830
23,0.010876,0.017245
24,0.009570,0.013418
25,0.008499,0.010781
26,0.007641,0.009059
27,0.006905,0.007810
28,0.006288,0.006781
29,0.005770,0.005966
30,0.005329,0.005301
31,0.004936,0.004750
32,0.004587,0.004301
33,0.004288,0.003923
34,0.004010,0.003600
35,0.003766,0.003318
36,0.003544,0.003076
37,0.003343,0.002870
38,0.003162,0.002687
39,0.002998,0.002525
40,0.002850,0.002380
41,0.002712,0.002251
42,0.002586,0.002136
43,0.002471,0.002031
44,0.002366,0.001936
45,0.002266,0.001850
46,0.002174,0.001770
47,0.002090,0.001697
48,0.002010,0.001630
49,0.001936,0.001567
50,0.001868,0.001508
51,0.001804,0.001453
52,0.001740,0.001403
53,0.001685,0.001355
54,0.001629,0.001311
55,0.001579,0.001269
56,0.001531,0.001230
57,0.001486,0.001192
58,0.001443,0.001157
59,0.001401,0.001125
60,0.001364,0.001093
61,0.001326,0.001064
62,0.001291,0.001035
63,0.001258,0.001009
64,0.001227,0.000983
65,0.001195,0.000960
66,0.001167,0.000936
67,0.001139,0.000914
68,0.001113,0.000893
69,0.001087,0.000873
70,0.001064,0.000853
71,0.001040,0.000835
72,0.001017,0.000817
73,0.000996,0.000800
74,0.000975,0.000784
75,0.000955,0.000768
76,0.000936,0.000753
77,0.000917,0.000738
78,0.000900,0.000724
79,0.000883,0.000710
80,0.000865,0.000697
81,0.000850,0.000684
82,0.000834,0.000672
83,0.000820,0.000660
84,0.000805,0.000649
85,0.000791,0.000638
86,0.000777,0.000627
87,0.000764,0.000617
88,0.000751,0.000607
89,0.000739,0.000597
90,0.000727,0.000587
91,0.000715,0.000578
92,0.000704,0.000569
93,0.000693,0.000561
94,0.000683,0.000552
95,0.000672,0.000544
96,0.000662,0.000536
97,0.000652,0.000528
98,0.000643,0.000521
99,0.000633,0.000513
100,0.000624,0.000506
